cap             ,2024-05-05 13:35:21 ,null ,1 ,null
jacket          ,2024-05-05 13:35:59 ,null ,1 ,null
t-shirt         ,2024-05-05 13:36:15 ,null ,1 ,null
jeans           ,2024-05-05 13:37:01 ,null ,1 ,null
sneakers        ,2024-05-05 13:37:45 ,null ,1 ,null

silver_necklace ,2024-05-03 13:35:21 ,null ,2 ,null
blazer          ,2024-05-03 13:35:59 ,null ,2 ,null
shirt           ,2024-05-03 13:36:15 ,null ,2 ,null
pants           ,2024-05-03 13:37:01 ,null ,2 ,null
formal_shoes    ,2024-05-03 13:37:45 ,null ,2 ,null
